Code,Description
"AA","American Airlines Inc."
"DL","Delta Air Lines Inc."
"WN","Southwest Airlines Co."
"UA","United Air Lines Inc."
"AS","Alaska Airlines Inc."
"B6","JetBlue Airways"
"NK","Spirit Air Lines"
"F9","Frontier Airlines Inc."
"G4","Allegiant Air"
"HA","Hawaiian Airlines Inc."

